"date","code","status","sex","back","center","front","side","front.bin","meanRank","meanPositionRanked","status2","dob","ageDays"
2017-08-06,"VCVM001","DominantM","M",0.363627766219028,0.25307357669756,0.0406657839984869,0.342632873084925,0.265935313031965,-0.337259186722696,-1,"DominantM",2011-12-21,2055
2017-08-06,"VHMF001","Yearling","F",0.214845640181941,0.442175554050131,0.0827446046646666,0.260234201103261,0.484467240878738,0.0763154607692133,-0.666666666666667,"Subordinate",2016-10-27,283
2017-08-06,"VHMM002","Yearling","M",0.0747422680412371,0.404044409199048,0.193398096748612,0.327815226011102,0.636300555114988,0.402971826839679,0.666666666666667,"Subordinate",2016-10-27,283
2017-08-06,"VHMM003","Yearling","M",0.0814130641782518,0.501333079413445,0.148733574557227,0.268520281851076,0.653304132546182,0.328176264406927,0.333333333333333,"Subordinate",2016-10-27,283
2017-08-06,"VHMM006","Sub-Adult","M",0.154091700522345,0.411781775972142,0.104855871541884,0.329270651963629,0.502128071193654,0.147734843529752,-0.333333333333333,"Juvenile",2016-12-28,221
2017-08-06,"VHMM007","Sub-Adult","M",0.0860706464819575,0.62334571074931,0.125011901361516,0.165571741407217,0.677806341045416,0.29196969754204,0,"Juvenile",2016-12-28,221
2017-08-06,"VLF206","DominantF","F",0.0420970571038784,0.394465016565972,0.189923991424674,0.373513934905477,0.659715455076983,0.428498578728087,1,"DominantF",2013-08-21,1446
2017-08-07,"VCVM001","DominantM","M",0.246649329865973,0.360572114422885,0.128325665133027,0.264452890578116,0.471994398879776,-0.0054751965980978,-0.6,"DominantM",2011-12-21,2056
2017-08-07,"VHMF001","Yearling","F",0.132516815580765,0.618913763678345,0.0994880032125289,0.149081417528361,0.531974701335207,0.159061760200364,0.2,"Subordinate",2016-10-27,284
2017-08-07,"VHMM002","Yearling","M",0.276704374812294,0.303133446791471,0.211432575833417,0.208729602562819,0.47702472719992,-0.00393492721454157,-1,"Subordinate",2016-10-27,284
2017-08-07,"VHMM006","Sub-Adult","M",0.0985394157663065,0.638155262104842,0.0670268107242897,0.196278511404562,0.515506202480992,0.16695608759734,-0.2,"Juvenile",2016-12-28,222
2017-08-07,"VHMM007","Sub-Adult","M",0.0339645326119627,0.684300170323615,0.132451658150486,0.149283638913936,0.699829676385132,0.382004334246916,0.6,"Juvenile",2016-12-28,222
2017-08-07,"VLF206","DominantF","F",0.127435492364402,0.35724065297525,0.24044233807267,0.274881516587678,0.726171669299631,0.384367997753618,1,"DominantF",2013-08-21,1447
2017-08-08,"VCVM001","DominantM","M",0.511717932621887,0.267210713538397,0.0382925298179535,0.182778824021762,0.193032015065913,-0.547705323814058,-1,"DominantM",2011-12-21,2057
2017-08-08,"VHMM002","Yearling","M",0.0770517511761631,0.206272869837951,0.253319393622582,0.463355985363304,0.635859905906952,0.401567223613303,0.5,"Subordinate",2016-10-27,285
2017-08-08,"VHMM006","Sub-Adult","M",0.144459586958801,0.491665793060069,0.154838033336828,0.209036586644302,0.629101582975155,0.239366558937411,-0.5,"Juvenile",2016-12-28,223
2017-08-08,"VHMM007","Sub-Adult","M",0.0435372729171017,0.643036124451869,0.114115681770725,0.199310920860305,0.67404468573815,0.341535614703961,0,"Juvenile",2016-12-28,223
2017-08-08,"VLF206","DominantF","F",0.07740232312566,0.398838437170011,0.216261879619852,0.307497360084477,0.693030623020063,0.45374338181731,1,"DominantF",2013-08-21,1448
2017-08-09,"VCVM001","DominantM","M",0.211877249479068,0.24275430952832,0.12890698996022,0.416461451032393,0.479541579844668,0.0113119320128545,0,"DominantM",2011-12-21,2058
